ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
33,hfc,128,64,0.02,-35,2.6,,0.8206,0.9147,0.8886,0.9015,,0.8570,0.9354,0.9067,0.9208,,0.8691,0.9403,0.9158,0.9272,,0.7516,0.8738,0.8431,,0.8148,0.9167,0.8800,,0.8964,0.9507,0.9401,,1.93,4.34,6.34,0.9347,4.3384,1.0539,1.6275,1.0998,2.0702,6.2857,0.9468,,./results/res_hfc_128_64_-35.0_2.6_0.02.log
34,hfc,128,64,0.02,-35,2.7,,0.8214,0.9214,0.8833,0.9020,,0.8574,0.9399,0.9029,0.9210,,0.8695,0.9452,0.9112,0.9273,,0.7411,0.8722,0.8314,,0.8267,0.9318,0.8800,,0.8979,0.9569,0.9357,,1.95,4.27,6.23,0.9327,4.2617,1.0354,1.6532,1.0978,2.0364,6.1781,0.9495,,./results/res_hfc_128_64_-35.0_2.7_0.02.log
35,hfc,128,64,0.02,-35,2.8,,0.8237,0.9285,0.8795,0.9033,,0.8595,0.9455,0.9002,0.9223,,0.8726,0.9512,0.9090,0.9291,,0.7453,0.8806,0.8290,,0.8312,0.9426,0.8756,,0.8955,0.9589,0.9313,,1.84,4.19,6.10,0.9281,4.1777,1.0206,1.6494,1.0959,1.9895,6.0718,0.9466,,./results/res_hfc_128_64_-35.0_2.8_0.02.log
36,hfc,128,64,0.02,-35,2.9,,0.8261,0.9349,0.8765,0.9048,,0.8610,0.9500,0.8981,0.9232,,0.8693,0.9544,0.9027,0.9273,,0.7516,0.8894,0.8290,,0.8326,0.9470,0.8733,,0.8948,0.9653,0.9246,,1.70,4.09,6.04,0.9304,4.0747,0.9678,1.6230,1.0869,1.9856,5.8569,0.9427,,./results/res_hfc_128_64_-35.0_2.9_0.02.log
37,hfc,128,64,0.02,-35,2.85,,0.8225,0.9311,0.8758,0.9026,,0.8586,0.9473,0.8975,0.9217,,0.8673,0.9523,0.9022,0.9261,,0.7500,0.8872,0.8290,,0.8291,0.9424,0.8733,,0.8889,0.9607,0.9224,,1.80,4.14,6.08,0.9295,4.1274,0.9885,1.6336,1.0911,2.0002,5.9544,0.9436,,./results/res_hfc_128_64_-35.0_2.85_0.02.log
38,hfc,128,64,0.02,-35,2.75,,0.8261,0.9273,0.8833,0.9047,,0.8612,0.9447,0.9029,0.9233,,0.8754,0.9506,0.9128,0.9308,,0.7474,0.8809,0.8314,,0.8298,0.9382,0.8778,,0.9019,0.9592,0.9379,,1.90,4.23,6.19,0.9327,4.2190,1.0324,1.6497,1.0958,2.0045,6.1340,0.9476,,./results/res_hfc_128_64_-35.0_2.75_0.02.log
39,hfc,128,64,0.02,-36,2.75,,0.8251,0.9245,0.8848,0.9042,,0.8607,0.9428,0.9040,0.9230,,0.8765,0.9491,0.9152,0.9313,,0.7500,0.8793,0.8361,,0.8285,0.9340,0.8800,,0.8979,0.9569,0.9357,,1.90,4.23,6.19,0.9319,4.2188,1.0337,1.6531,1.0971,2.0017,6.1365,0.9475,,./results/res_hfc_128_64_-36.0_2.75_0.02.log
40,hfc,128,64,0.02,-36,2.8,,0.8234,0.9264,0.8810,0.9031,,0.8594,0.9440,0.9013,0.9222,,0.8740,0.9501,0.9115,0.9299,,0.7479,0.8790,0.8337,,0.8316,0.9405,0.8778,,0.8915,0.9566,0.9290,,1.84,4.19,6.10,0.9274,4.1773,1.0220,1.6531,1.0974,1.9864,6.0744,0.9461,,./results/res_hfc_128_64_-36.0_2.8_0.02.log
41,hfc,128,64,0.02,-37,2.75,,0.8235,0.9216,0.8855,0.9032,,0.8596,0.9408,0.9046,0.9223,,0.8772,0.9476,0.9172,0.9316,,0.7510,0.8756,0.8407,,0.8267,0.9318,0.8800,,0.8938,0.9546,0.9335,,1.90,4.23,6.19,0.9320,4.2158,1.0332,1.6520,1.0976,1.9984,6.1313,0.9470,,./results/res_hfc_128_64_-37.0_2.75_0.02.log
42,hfc,128,64,0.02,-37,2.8,,0.8223,0.9242,0.8818,0.9025,,0.8587,0.9426,0.9019,0.9217,,0.8750,0.9489,0.9134,0.9303,,0.7505,0.8775,0.8384,,0.8298,0.9382,0.8778,,0.8875,0.9543,0.9268,,1.84,4.19,6.10,0.9274,4.1742,1.0241,1.6520,1.0979,1.9793,6.0757,0.9461,,./results/res_hfc_128_64_-37.0_2.8_0.02.log
