ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
35,mkl,256,64,0.02,-43,0.65,,0.7321,0.8007,0.8953,0.8454,,0.7813,0.8559,0.8989,0.8737,,0.7795,0.8615,0.8927,0.8715,,0.6725,0.8005,0.808,,0.6865,0.7463,0.8956,,0.8416,0.858,0.9778,,4.06,6.40,8.45,0.9327,,,,,,,,,./results/res_mkl_256_64_-43.0_0.65_0.02.log
36,mkl,256,64,0.02,-44,0.6,,0.7203,0.7759,0.9096,0.8374,,0.7778,0.8349,0.9162,0.8703,,0.7810,0.8428,0.9123,0.8712,,0.6786,0.7747,0.8454,,0.665,0.7181,0.9,,0.8246,0.8387,0.98,,4.10,6.45,8.50,0.9321,,,,,,,,,./results/res_mkl_256_64_-44.0_0.6_0.02.log
37,mkl,256,64,0.02,-44,0.65,,0.7235,0.7834,0.9044,0.8396,,0.7795,0.8423,0.9103,0.8716,,0.7805,0.8492,0.9052,0.8712,,0.6717,0.7756,0.8337,,0.6756,0.7319,0.8978,,0.8289,0.8448,0.9778,,4.06,6.40,8.45,0.9326,,,,,,,,,./results/res_mkl_256_64_-44.0_0.65_0.02.log
38,mkl,256,64,0.02,-45,0.65,,0.718,0.771,0.9127,0.8359,,0.7789,0.8338,0.9191,0.8705,,0.7806,0.8409,0.9148,0.8708,,0.6673,0.76,0.8454,,0.6755,0.7231,0.9111,,0.8167,0.8321,0.9778,,4.06,6.39,8.45,0.9323,,,,,,,,,./results/res_mkl_256_64_-45.0_0.65_0.02.log
39,mkl,256,64,0.02,-45,0.7,,0.7175,0.7748,0.9066,0.8355,,0.7759,0.8371,0.9119,0.869,,0.7747,0.8431,0.9050,0.8672,,0.663,0.7601,0.8384,,0.6755,0.7289,0.9022,,0.8194,0.8365,0.9756,,4.02,6.34,8.37,0.9344,,,,,,,,,./results/res_mkl_256_64_-45.0_0.7_0.02.log
40,mkl,256,64,0.02,-45,0.6,,0.7131,0.7622,0.9172,0.8325,,0.7761,0.8257,0.9244,0.8684,,0.7801,0.8338,0.9214,0.8700,,0.6716,0.7562,0.8571,,0.6661,0.7111,0.9133,,0.8077,0.8228,0.9778,,4.10,6.45,8.50,0.9319,,,,,,,,,./results/res_mkl_256_64_-45.0_0.6_0.02.log
41,mkl,512,64,0.02,-43,0.6,,0.7312,0.8185,0.8727,0.8448,,0.7846,0.8718,0.8827,0.875,,0.7710,0.8769,0.8612,0.8628,,0.6553,0.8195,0.7658,,0.6765,0.7534,0.8689,,0.8681,0.8855,0.9778,,5.36,8.24,10.93,0.9448,,,,,,,,,./results/res_mkl_512_64_-43.0_0.6_0.02.log
42,mkl,512,64,0.02,-44,0.6,,0.727,0.8068,0.8803,0.8419,,0.7871,0.8632,0.893,0.8756,,0.7765,0.8695,0.8743,0.8661,,0.6562,0.8029,0.7822,,0.6735,0.7448,0.8756,,0.858,0.875,0.9778,,5.34,8.23,10.91,0.9427,8.2377,1.3996,1.773,1.2377,5.378,10.9762,0.9569,,./results/res_mkl_512_64_-44_0.6_0.02.log
43,mkl,512,64,0.02,-44,0.65,,0.7284,0.8136,0.8742,0.8428,,0.7853,0.8675,0.8866,0.8749,,0.7749,0.8744,0.8684,0.8655,,0.6489,0.8044,0.7705,,0.6782,0.7538,0.8711,,0.8644,0.8835,0.9756,,5.30,8.10,10.70,0.9423,,,,,,,,,./results/res_mkl_512_64_-44.0_0.65_0.02.log
44,mkl,512,64,0.02,-45,0.6,,0.7199,0.7901,0.8901,0.8371,,0.7807,0.8484,0.9015,0.8715,,0.7730,0.8550,0.8847,0.8640,,0.6509,0.7743,0.8033,,0.6712,0.7357,0.8844,,0.8448,0.8613,0.9778,,5.34,8.23,10.91,0.9425,,,,,,,,,./results/res_mkl_512_64_-45.0_0.6_0.02.log
